Name,Coordinates,Adjacents
28,"0.570784,0.264542","49,11,44,46,15,4,47,23,29,1,43,25,36,34,20,12,35,39,48,18,3,16,24,9,17,5,21,31,7,40,6,22,26,8,32,10,37,38,45,41,2,14,0,27,13,30,42,33,19"
34,"0.854666,0.487107","20,15,31,22,47,21,16,25,1,46,28,11,44,38,39,49,24,4,17,0,13,2,7,41,26,5,23,40,27,29,36,10,32,43,8,3,14,12,48,37,42,35,9,18,45,30,6,33,19"
37,"0.132525,0.599239","8,32,10,5,40,45,30,26,3,4,36,33,9,23,49,39,7,24,14,48,6,42,29,11,19,25,18,12,27,41,16,35,28,21,43,2,38,13,15,0,34,20,47,22,46,44,31,1,17"
46,"0.813828,0.138379","1,44,47,17,15,28,34,20,31,11,49,43,22,25,4,29,16,23,35,21,12,39,36,18,24,48,3,9,5,7,38,40,26,6,32,8,10,0,2,37,13,41,45,27,14,42,30,33,19"
2,"0.662544,0.942941","13,0,38,41,27,21,16,7,24,39,25,14,42,26,22,40,31,20,34,11,19,5,4,10,45,32,49,15,30,33,8,37,28,47,23,36,3,29,46,1,9,44,48,6,12,18,43,35,17"
3,"0.165663,0.354691","9,36,23,48,29,6,18,12,37,5,4,8,49,35,32,10,40,43,11,45,26,39,28,24,25,30,7,33,16,14,42,21,19,15,41,44,27,46,47,34,20,1,2,38,22,31,13,17,0"
7,"0.429939,0.750648","24,26,39,40,25,41,16,27,14,5,42,10,32,21,4,11,45,8,2,49,30,37,38,13,33,19,0,23,36,3,34,20,28,15,29,22,9,31,48,6,12,18,47,35,43,46,44,1,17"
15,"0.809538,0.402384","34,20,47,31,22,46,1,28,44,21,16,11,25,49,17,39,4,24,38,7,23,0,2,13,29,5,26,36,43,40,41,12,3,35,48,32,10,27,8,18,9,37,14,45,42,6,30,33,19"
29,"0.258456,0.246955","23,36,48,9,12,18,3,35,6,43,49,4,28,11,5,37,8,32,10,40,39,25,24,26,45,7,44,46,16,15,30,47,1,21,34,20,14,33,42,17,41,27,19,31,22,2,38,13,0"
45,"0.147542,0.755752","30,10,32,8,40,33,37,26,5,14,42,19,7,24,39,4,27,41,3,49,25,36,11,23,9,16,48,6,29,21,2,13,18,38,12,0,28,35,43,15,34,20,22,31,47,46,44,1,17"
