Name,Coordinates,Adjacents
52,"0.053039,0.392694","80,94,29,25,60,89,64,78,43,2,13,28,49,83,38,70,91,7,20,65,81,31,8,11,86,14,35,9,88,84,93,51,55,61,99,68,95,82,22,39,98,63,42,90,0,77,27,17,6,40,34,1,37,87,53,24,19,56,5,21,46,44,79,33,57,3,92,36,66,26,74,12,97,62,59,50,58,41,67,15,47,48,45,96,30,10,85,32,23,4,75,73,16,18,71,72,54,76,69"
90,"0.156329,0.901953","53,22,84,1,51,88,95,42,91,13,49,24,78,37,79,5,89,7,6,93,60,86,68,26,66,21,11,98,12,34,29,39,41,2,28,85,81,52,3,99,70,62,45,96,80,47,97,43,35,27,94,9,10,32,71,46,77,20,61,25,82,48,64,14,63,54,36,40,44,17,83,55,76,56,8,59,38,87,30,69,65,57,33,23,31,74,19,0,15,50,58,72,18,92,73,75,16,67,4"
93,"0.393954,0.633791","68,86,7,11,6,98,39,34,95,37,99,81,42,24,21,27,5,28,60,70,35,2,13,9,78,77,3,46,29,43,79,82,61,84,66,26,12,63,90,89,20,97,62,22,91,49,14,51,40,44,36,17,53,88,47,41,52,80,56,45,96,10,48,94,32,85,87,55,59,1,33,57,64,8,30,83,71,25,23,74,19,15,38,54,50,0,76,65,58,69,72,92,18,31,73,75,16,67,4"
7,"0.316346,0.592529","86,93,11,68,60,81,28,2,13,95,98,39,70,78,99,6,42,35,29,34,37,43,9,24,27,89,84,5,21,49,91,61,77,20,82,52,80,22,51,90,14,94,63,88,46,3,79,40,53,17,66,26,64,55,12,44,56,25,97,62,1,87,83,8,36,41,47,45,96,38,10,48,33,57,85,59,32,19,65,0,30,74,23,31,15,71,50,58,92,54,76,72,69,18,67,73,75,16,4"
9,"0.440925,0.364590","35,61,82,70,81,63,20,99,14,28,77,11,2,43,40,17,39,55,27,87,98,56,86,7,68,29,8,93,44,34,46,19,60,83,33,57,0,64,80,36,94,6,74,38,52,13,78,92,65,50,21,25,59,58,95,37,15,3,42,89,24,30,5,67,23,31,75,97,49,73,48,4,91,16,62,84,18,72,12,66,10,79,26,47,51,32,22,88,90,96,45,41,85,53,71,1,69,76,54"
31,"0.081875,0.031445","65,38,83,64,25,8,94,80,0,52,43,55,20,14,29,2,28,70,9,61,19,35,60,82,81,17,63,87,89,40,78,11,13,92,99,7,77,49,86,56,39,91,93,27,98,68,33,67,44,57,34,58,74,88,84,46,4,51,95,50,6,42,36,22,75,37,15,90,73,24,21,16,59,5,1,30,3,53,23,18,72,79,97,66,48,62,26,12,10,47,32,45,96,41,85,71,69,76,54"
34,"0.557200,0.622314","98,39,68,27,21,6,46,99,93,3,11,86,37,77,81,5,24,97,7,36,35,62,44,12,48,9,95,42,82,66,70,59,10,47,63,61,26,28,32,40,45,96,56,79,2,41,17,30,57,33,23,85,60,87,43,20,14,13,15,74,71,29,78,55,50,76,54,84,69,90,72,58,22,18,19,89,53,91,80,51,49,52,8,73,94,88,75,16,64,83,92,0,1,67,25,4,38,65,31"
40,"0.585830,0.293445","17,63,87,56,82,61,77,9,44,33,57,35,14,19,55,27,99,20,74,81,70,46,50,58,39,92,36,11,98,15,28,0,43,2,8,67,34,59,75,73,30,86,68,4,23,16,93,83,7,18,29,72,64,6,60,38,21,3,65,48,80,94,97,37,52,25,13,5,95,24,62,78,31,42,10,12,47,32,89,66,96,45,26,79,41,69,49,91,84,76,85,71,90,51,22,54,88,53,1"
56,"0.658366,0.304118","40,33,87,17,57,44,63,77,82,74,61,50,58,27,19,36,46,15,9,35,99,14,55,92,59,39,75,81,20,67,73,30,23,98,70,16,11,4,34,18,72,0,28,43,2,68,8,86,93,7,48,3,83,6,21,29,97,64,60,37,62,38,65,10,5,80,24,32,47,94,12,95,42,13,52,96,45,78,66,69,25,31,26,41,76,79,89,85,71,54,49,84,91,90,22,51,88,53,1"
68,"0.435176,0.626600","93,86,98,39,6,11,34,7,99,37,81,27,21,95,24,42,5,35,70,28,2,9,46,3,77,60,13,82,61,78,66,79,43,63,12,26,97,29,62,44,20,36,40,84,14,17,47,90,56,48,10,45,41,96,89,22,32,91,59,49,87,51,85,53,80,52,55,88,57,33,94,30,23,71,64,74,8,1,15,83,19,50,25,54,76,58,38,0,69,72,18,65,92,73,75,16,67,31,4"
85,"0.659745,0.993307","41,45,96,12,66,26,71,47,62,32,10,79,54,97,3,5,21,24,37,76,48,6,42,69,34,95,68,93,98,46,39,86,27,53,90,36,59,7,99,11,30,22,23,84,81,77,44,1,35,51,13,9,60,70,78,28,82,88,2,15,63,56,57,61,72,33,91,40,17,18,49,74,89,43,29,87,50,20,14,58,73,16,55,52,75,80,94,19,8,64,67,92,83,4,25,0,38,65,31"
1,"0.038296,0.954888","22,53,90,51,88,84,91,49,95,42,13,78,89,24,79,37,60,7,5,6,93,86,26,68,66,21,52,29,11,2,28,12,98,80,41,34,39,81,85,94,70,3,99,43,45,62,96,35,47,27,97,9,25,32,10,64,71,20,46,77,61,82,14,48,63,54,83,38,40,8,36,17,55,44,76,56,65,87,59,31,69,33,57,30,23,0,19,74,15,50,58,72,92,18,73,75,67,16,4"
35,"0.438179,0.396554","9,81,70,61,99,82,11,28,63,77,20,2,14,39,43,27,40,17,98,86,55,87,68,7,56,93,34,29,46,44,60,8,19,33,57,83,6,36,64,80,0,94,13,78,52,74,21,95,37,38,59,42,50,3,92,25,24,65,58,15,89,5,30,23,97,49,48,67,31,62,91,84,75,12,73,66,4,79,16,26,10,18,47,72,51,22,32,90,88,45,96,41,85,53,71,1,69,76,54"
36,"0.772463,0.491828","59,46,44,30,23,15,57,33,27,77,56,74,48,72,34,50,18,40,39,98,63,99,3,17,82,97,58,87,73,61,16,21,35,75,10,9,62,68,81,11,32,47,6,69,93,86,12,70,96,45,19,76,67,14,37,5,4,20,92,28,7,55,66,24,41,2,71,26,54,43,85,42,95,79,0,8,60,29,13,83,78,64,80,94,52,38,84,90,89,65,22,25,91,49,53,51,88,31,1"
39,"0.504149,0.543933","98,99,27,34,11,68,81,86,93,77,35,46,9,7,6,70,82,61,28,21,63,2,44,37,40,3,36,17,56,24,5,95,43,20,14,42,87,60,97,59,33,57,29,62,48,12,13,55,66,30,78,26,10,47,74,79,23,32,15,45,96,41,50,19,80,8,89,84,85,52,94,58,64,83,90,49,91,0,22,72,71,51,18,92,73,53,88,75,25,76,38,16,69,54,67,65,4,1,31"
95,"0.314504,0.779289","42,37,24,6,93,5,7,68,86,90,84,79,22,13,53,21,78,51,60,11,98,26,34,66,88,39,91,1,49,89,81,12,99,3,28,2,27,41,70,62,29,35,85,97,45,96,47,9,43,46,10,77,32,52,80,61,82,48,20,94,63,71,14,36,44,40,17,54,56,59,64,25,55,87,76,83,30,57,33,8,23,69,38,74,15,19,65,50,0,58,31,72,18,92,73,75,16,67,4"
0,"0.430395,0.034292","55,8,19,14,83,20,92,87,65,17,61,38,40,63,82,9,43,64,31,56,35,70,67,77,28,2,33,81,58,57,4,25,74,29,99,44,94,80,50,11,27,75,39,52,73,98,15,46,16,86,60,7,36,68,93,34,59,18,30,78,23,13,72,89,6,21,49,95,3,37,42,91,48,24,5,97,84,62,88,51,10,12,22,47,66,32,90,26,79,96,45,41,53,69,85,1,76,71,54"
60,"0.177667,0.534104","78,13,29,89,7,2,28,52,86,49,80,43,70,11,91,94,93,81,68,84,95,35,51,88,99,9,42,64,20,25,39,98,22,6,14,90,61,37,34,83,82,24,27,77,8,38,63,53,5,55,1,21,40,17,65,46,79,31,87,56,3,66,26,44,0,12,19,36,62,97,33,57,41,47,45,96,59,10,85,48,32,74,92,30,50,15,58,23,71,67,54,75,73,72,4,18,76,16,69"
78,"0.115688,0.601760","13,89,60,49,91,84,7,29,52,88,51,86,80,2,22,95,28,94,93,90,11,42,43,70,68,81,1,53,25,6,35,37,99,64,39,98,24,9,20,5,34,14,61,83,27,21,82,38,79,77,8,63,55,65,26,66,40,17,46,3,31,12,87,56,62,44,97,41,0,36,85,45,96,47,19,10,33,32,57,48,59,74,71,30,92,50,15,23,58,54,76,67,75,69,72,73,18,4,16"
83,"0.213589,0.144082","38,8,64,65,31,20,25,43,14,55,94,80,0,29,2,28,70,52,9,61,35,82,19,81,63,17,60,87,40,11,99,77,7,78,86,56,92,89,13,39,27,98,93,68,49,44,33,57,34,91,67,46,74,58,50,6,95,4,36,84,42,88,51,15,37,75,21,24,59,73,22,16,5,90,30,3,23,18,72,53,97,1,48,79,62,66,12,26,10,47,32,45,96,41,85,71,69,76,54"
12,"0.641430,0.886846","62,45,96,41,66,47,26,85,97,3,32,10,21,5,71,79,24,37,6,48,54,34,76,42,68,98,95,93,69,46,39,27,86,36,59,99,7,11,30,90,77,81,23,53,44,35,22,84,9,70,82,13,28,63,60,56,61,2,57,15,40,51,78,33,1,72,17,74,88,91,18,87,43,29,50,49,89,20,14,58,73,55,16,75,52,80,19,94,8,64,92,67,83,4,0,25,38,65,31"
33,"0.750866,0.298442","57,74,56,50,44,58,15,40,87,17,36,77,63,75,73,16,59,82,30,23,46,18,67,72,19,61,27,92,4,9,99,35,39,55,14,98,81,34,20,70,11,0,48,28,68,43,3,2,86,8,93,97,21,6,7,62,10,83,32,47,29,69,37,12,5,64,24,60,96,45,65,38,76,66,95,42,80,41,26,94,71,13,85,78,52,79,54,25,31,89,84,49,91,90,22,51,88,53,1"
75,"0.917513,0.175551","73,16,58,50,4,74,67,15,18,57,33,72,92,56,23,44,30,87,59,36,19,40,17,63,77,46,82,61,27,55,0,9,14,35,99,39,20,48,98,34,81,70,11,8,3,28,97,43,69,68,2,86,10,21,93,62,83,32,6,47,76,7,65,12,29,96,38,45,64,37,5,24,71,66,60,54,41,80,26,31,95,94,85,42,25,52,79,13,78,89,84,49,91,90,22,51,88,53,1"
73,"0.939547,0.209667","16,75,50,58,15,18,74,4,72,57,33,67,23,30,44,56,92,59,36,87,40,17,19,63,46,77,82,27,61,55,9,99,48,35,0,14,39,98,34,20,81,70,11,3,69,97,8,68,28,10,43,21,62,2,32,86,93,76,47,6,83,7,12,96,45,37,5,29,71,65,54,64,24,38,66,41,26,60,85,95,42,80,94,79,31,13,25,52,78,89,84,49,91,90,22,51,53,88,1"
96,"0.708673,0.918132","45,47,41,12,62,32,85,10,71,97,66,26,3,54,21,48,76,5,79,24,37,69,6,34,42,46,68,98,95,93,39,59,36,27,30,86,23,99,11,7,44,77,81,90,53,35,15,72,22,57,84,9,82,56,33,63,70,40,61,28,18,13,74,2,60,17,51,1,78,50,87,88,91,43,20,29,14,58,73,49,89,16,75,55,19,52,80,94,67,92,4,8,64,83,0,25,38,65,31"
