Name,Coordinates,Adjacents
5,"0.217827,0.783518","25,21,0,27,11,2,18,10,14,12,9,4,20,17,8,28,29,1,13,23,3,15,16,6,19,24,26,22,7"
7,"0.954283,0.247182","26,24,22,19,17,15,16,6,28,23,3,20,4,13,29,8,10,9,18,12,14,2,25,5,1,21,27,11,0"
14,"0.137504,0.474517","8,25,4,20,1,27,5,13,28,23,3,17,21,16,0,11,18,10,2,12,19,9,22,29,26,15,24,7,6"
17,"0.562051,0.471817","4,20,28,19,13,16,23,8,26,24,10,3,18,15,22,14,25,7,12,9,5,29,2,6,21,27,1,11,0"
21,"0.209567,0.915680","0,11,5,25,2,27,18,10,12,9,14,4,17,20,29,8,28,1,13,15,23,6,3,16,19,24,26,22,7"
23,"0.390394,0.146003","3,16,13,28,20,8,4,19,17,1,22,14,26,7,25,24,5,27,10,18,15,21,12,9,2,0,29,11,6"
24,"0.941146,0.375380","26,7,22,15,19,17,6,29,28,16,20,4,23,3,13,10,9,18,12,8,2,14,25,5,21,11,1,27,0"
29,"0.779774,0.888038","9,15,12,6,10,18,2,17,24,11,21,5,26,0,25,4,7,20,28,27,14,22,19,8,13,16,23,3,1"
11,"0.221470,0.981420","21,0,5,2,18,25,27,10,12,9,14,29,4,17,20,8,28,15,1,13,6,23,3,16,24,19,26,22,7"
13,"0.315859,0.206728","23,3,28,8,16,20,4,1,14,19,17,22,25,5,26,27,7,24,10,18,21,12,0,2,9,15,11,29,6"
19,"0.648422,0.128903","22,16,23,3,28,26,7,13,17,20,24,4,8,14,15,1,25,6,10,18,29,5,12,9,27,2,21,11,0"
25,"0.176834,0.686222","5,27,14,21,0,11,4,20,18,10,2,8,12,17,28,1,9,13,23,3,16,29,15,19,6,26,24,22,7"
0,"0.156444,0.949931","21,11,5,27,25,2,18,10,12,9,14,4,20,29,17,8,28,1,13,15,23,6,3,16,19,24,26,22,7"
2,"0.441665,0.967856","18,12,10,9,11,21,0,5,29,25,27,17,15,14,6,4,20,28,8,13,24,26,23,1,16,3,19,7,22"
18,"0.501282,0.879905","10,12,9,2,29,21,11,5,0,25,17,15,27,6,4,20,14,28,8,24,13,26,23,16,19,3,7,1,22"
28,"0.404886,0.292431","20,4,13,23,8,16,3,17,19,14,1,22,25,26,5,24,7,27,10,18,12,15,21,9,2,0,29,11,6"
3,"0.363222,0.116540","23,16,13,28,8,20,4,19,1,17,14,22,26,25,7,24,5,27,10,18,15,21,12,9,2,0,11,29,6"
6,"0.989959,0.777508","15,29,24,9,12,10,26,18,17,7,2,22,19,4,20,28,5,21,11,25,16,0,23,13,8,14,3,27,1"
9,"0.586044,0.932648","12,10,18,2,29,11,21,15,5,0,6,17,25,27,4,20,14,24,28,26,8,13,7,19,23,16,22,3,1"
12,"0.546714,0.923995","9,10,18,2,29,11,21,5,0,15,25,17,6,27,4,20,14,28,24,8,26,13,7,23,19,16,3,22,1"
15,"0.906108,0.708484","6,29,24,9,17,12,26,10,18,7,2,22,19,4,20,28,5,21,25,11,16,23,13,0,8,3,14,27,1"
22,"0.796788,0.120795","19,26,7,24,16,23,17,28,3,13,20,4,8,15,6,14,29,1,10,18,9,25,12,5,2,27,21,11,0"
27,"0.044659,0.727140","25,5,0,21,14,11,4,2,8,20,1,18,10,12,28,17,9,13,23,3,16,29,19,15,6,26,24,22,7"
4,"0.346198,0.389845","20,28,8,13,14,17,23,3,16,25,1,19,5,27,10,18,22,21,26,12,2,0,9,24,11,7,15,29,6"
16,"0.451329,0.122034","23,3,13,28,19,20,8,4,22,17,1,14,26,7,24,25,5,27,15,10,18,12,9,21,29,2,6,0,11"
20,"0.355797,0.365908","4,28,8,13,23,17,14,3,16,25,1,19,5,27,22,10,18,26,21,24,12,2,7,9,0,11,15,29,6"
26,"0.896125,0.287222","7,24,22,19,17,15,16,28,6,23,20,4,3,13,29,8,10,18,9,12,14,2,25,5,1,21,27,11,0"
1,"0.003553,0.248268","8,14,13,4,20,3,23,28,16,25,27,5,17,19,21,0,11,22,18,10,2,12,26,9,24,7,29,15,6"
8,"0.230159,0.301264","13,20,4,28,14,23,3,1,16,17,25,19,27,5,22,21,18,10,0,26,11,12,2,24,9,7,15,29,6"
10,"0.512888,0.875213","18,12,9,2,29,21,5,11,0,25,17,15,6,27,4,20,14,28,8,24,13,26,23,16,19,7,3,22,1"
